trial_id,trial_type,condition,chain_index,initial_hypothesis,final_hypothesis,final_length,response_type,additive_moves,subtractive_moves,accuracy
S1,subtractive,p_add=0.5_steps=50_temp=1.0,0,red;square;small,red,1,subtractive,3,5,1.0
S1,subtractive,p_add=0.5_steps=50_temp=1.0,1,red;square;small,red,1,subtractive,3,5,1.0
S1,subtractive,p_add=0.5_steps=50_temp=1.0,2,red;square;small,red;square,2,subtractive,2,3,1.0
S1,subtractive,p_add=0.5_steps=50_temp=1.0,3,red;square;small,red,1,subtractive,2,4,1.0
S1,subtractive,p_add=0.5_steps=50_temp=1.0,4,red;square;small,red;square,2,subtractive,3,4,1.0
S1,subtractive,p_add=0.5_steps=50_temp=1.0,5,red;square;small,red,1,subtractive,3,5,1.0
S1,subtractive,p_add=0.5_steps=50_temp=1.0,6,red;square;small,red,1,subtractive,8,10,1.0
S1,subtractive,p_add=0.5_steps=50_temp=1.0,7,red;square;small,red;square,2,subtractive,2,3,1.0
S1,subtractive,p_add=0.5_steps=50_temp=1.0,8,red;square;small,red;square,2,subtractive,2,3,1.0
S1,subtractive,p_add=0.5_steps=50_temp=1.0,9,red;square;small,red,1,subtractive,2,4,1.0
S1,subtractive,p_add=0.5_steps=50_temp=1.0,10,red;square;small,red,1,subtractive,2,4,1.0
S1,subtractive,p_add=0.5_steps=50_temp=1.0,11,red;square;small,red,1,subtractive,4,6,1.0
S1,subtractive,p_add=0.5_steps=50_temp=1.0,12,red;square;small,red,1,subtractive,0,2,1.0
S1,subtractive,p_add=0.5_steps=50_temp=1.0,13,red;square;small,red,1,subtractive,2,4,1.0
S1,subtractive,p_add=0.5_steps=50_temp=1.0,14,red;square;small,red,1,subtractive,2,4,1.0
S1,subtractive,p_add=0.5_steps=50_temp=1.0,15,red;square;small,red;square,2,subtractive,2,3,1.0
S1,subtractive,p_add=0.5_steps=50_temp=1.0,16,red;square;small,red,1,subtractive,4,6,1.0
S1,subtractive,p_add=0.5_steps=50_temp=1.0,17,red;square;small,red,1,subtractive,1,3,1.0
S1,subtractive,p_add=0.5_steps=50_temp=1.0,18,red;square;small,red,1,subtractive,2,4,1.0
S1,subtractive,p_add=0.5_steps=50_temp=1.0,19,red;square;small,red,1,subtractive,2,4,1.0
S1,subtractive,p_add=0.5_steps=50_temp=1.0,20,red;square;small,red;square,2,subtractive,2,3,1.0
S1,subtractive,p_add=0.5_steps=50_temp=1.0,21,red;square;small,red,1,subtractive,0,2,1.0
S1,subtractive,p_add=0.5_steps=50_temp=1.0,22,red;square;small,red,1,subtractive,0,2,1.0
S1,subtractive,p_add=0.5_steps=50_temp=1.0,23,red;square;small,red,1,subtractive,2,4,1.0
S1,subtractive,p_add=0.5_steps=50_temp=1.0,24,red;square;small,red,1,subtractive,0,2,1.0
S1,subtractive,p_add=0.5_steps=50_temp=1.0,25,red;square;small,red,1,subtractive,1,3,1.0
S1,subtractive,p_add=0.5_steps=50_temp=1.0,26,red;square;small,red,1,subtractive,1,3,1.0
S1,subtractive,p_add=0.5_steps=50_temp=1.0,27,red;square;small,red,1,subtractive,1,3,1.0
S1,subtractive,p_add=0.5_steps=50_temp=1.0,28,red;square;small,red,1,subtractive,3,5,1.0
S1,subtractive,p_add=0.5_steps=50_temp=1.0,29,red;square;small,red,1,subtractive,3,5,1.0
A1,additive,p_add=0.5_steps=50_temp=1.0,0,red,,0,subtractive,1,2,0.6666666666666666
A1,additive,p_add=0.5_steps=50_temp=1.0,1,red,red;circle,2,additive,5,4,1.0
A1,additive,p_add=0.5_steps=50_temp=1.0,2,red,red,1,nochange,2,2,1.0
A1,additive,p_add=0.5_steps=50_temp=1.0,3,red,red,1,nochange,4,4,1.0
A1,additive,p_add=0.5_steps=50_temp=1.0,4,red,red,1,nochange,1,1,1.0
A1,additive,p_add=0.5_steps=50_temp=1.0,5,red,red,1,nochange,0,0,1.0
A1,additive,p_add=0.5_steps=50_temp=1.0,6,red,red,1,nochange,2,2,1.0
A1,additive,p_add=0.5_steps=50_temp=1.0,7,red,red,1,nochange,1,1,1.0
A1,additive,p_add=0.5_steps=50_temp=1.0,8,red,red;circle,2,additive,4,3,1.0
A1,additive,p_add=0.5_steps=50_temp=1.0,9,red,red,1,nochange,3,3,1.0
A1,additive,p_add=0.5_steps=50_temp=1.0,10,red,red,1,nochange,3,3,1.0
A1,additive,p_add=0.5_steps=50_temp=1.0,11,red,red;circle,2,additive,3,2,1.0
A1,additive,p_add=0.5_steps=50_temp=1.0,12,red,red,1,nochange,0,0,1.0
A1,additive,p_add=0.5_steps=50_temp=1.0,13,red,red;circle,2,additive,4,3,1.0
A1,additive,p_add=0.5_steps=50_temp=1.0,14,red,red,1,nochange,1,1,1.0
A1,additive,p_add=0.5_steps=50_temp=1.0,15,red,red,1,nochange,2,2,1.0
A1,additive,p_add=0.5_steps=50_temp=1.0,16,red,red,1,nochange,2,2,1.0
A1,additive,p_add=0.5_steps=50_temp=1.0,17,red,red,1,nochange,2,2,1.0
A1,additive,p_add=0.5_steps=50_temp=1.0,18,red,red,1,nochange,2,2,1.0
A1,additive,p_add=0.5_steps=50_temp=1.0,19,red,red;circle,2,additive,3,2,1.0
A1,additive,p_add=0.5_steps=50_temp=1.0,20,red,red,1,nochange,3,3,1.0
A1,additive,p_add=0.5_steps=50_temp=1.0,21,red,,0,subtractive,3,4,0.6666666666666666
A1,additive,p_add=0.5_steps=50_temp=1.0,22,red,red;circle,2,additive,2,1,1.0
A1,additive,p_add=0.5_steps=50_temp=1.0,23,red,red,1,nochange,3,3,1.0
A1,additive,p_add=0.5_steps=50_temp=1.0,24,red,red,1,nochange,1,1,1.0
A1,additive,p_add=0.5_steps=50_temp=1.0,25,red,red,1,nochange,1,1,1.0
A1,additive,p_add=0.5_steps=50_temp=1.0,26,red,red,1,nochange,3,3,1.0
A1,additive,p_add=0.5_steps=50_temp=1.0,27,red,red,1,nochange,2,2,1.0
A1,additive,p_add=0.5_steps=50_temp=1.0,28,red,red;circle,2,additive,2,1,1.0
A1,additive,p_add=0.5_steps=50_temp=1.0,29,red,red,1,nochange,2,2,1.0
S2,subtractive,p_add=0.5_steps=50_temp=1.0,0,square;blue;solid,blue;solid,2,subtractive,4,5,1.0
S2,subtractive,p_add=0.5_steps=50_temp=1.0,1,square;blue;solid,solid;blue;square,3,nochange,6,6,1.0
S2,subtractive,p_add=0.5_steps=50_temp=1.0,2,square;blue;solid,solid;blue,2,subtractive,4,5,1.0
S2,subtractive,p_add=0.5_steps=50_temp=1.0,3,square;blue;solid,blue;solid;square,3,nochange,2,2,1.0
S2,subtractive,p_add=0.5_steps=50_temp=1.0,4,square;blue;solid,blue;solid;square,3,nochange,5,5,1.0
S2,subtractive,p_add=0.5_steps=50_temp=1.0,5,square;blue;solid,blue;solid,2,subtractive,3,4,1.0
S2,subtractive,p_add=0.5_steps=50_temp=1.0,6,square;blue;solid,blue;solid,2,subtractive,2,3,1.0
S2,subtractive,p_add=0.5_steps=50_temp=1.0,7,square;blue;solid,blue;solid;square,3,nochange,2,2,1.0
S2,subtractive,p_add=0.5_steps=50_temp=1.0,8,square;blue;solid,blue;solid,2,subtractive,2,3,1.0
S2,subtractive,p_add=0.5_steps=50_temp=1.0,9,square;blue;solid,blue;solid,2,subtractive,4,5,1.0
S2,subtractive,p_add=0.5_steps=50_temp=1.0,10,square;blue;solid,blue;solid;square,3,nochange,2,2,1.0
S2,subtractive,p_add=0.5_steps=50_temp=1.0,11,square;blue;solid,blue;solid,2,subtractive,4,5,1.0
S2,subtractive,p_add=0.5_steps=50_temp=1.0,12,square;blue;solid,blue;solid,2,subtractive,4,5,1.0
S2,subtractive,p_add=0.5_steps=50_temp=1.0,13,square;blue;solid,blue;solid,2,subtractive,2,3,1.0
S2,subtractive,p_add=0.5_steps=50_temp=1.0,14,square;blue;solid,blue;solid,2,subtractive,4,5,1.0
S2,subtractive,p_add=0.5_steps=50_temp=1.0,15,square;blue;solid,blue;solid,2,subtractive,4,5,1.0
S2,subtractive,p_add=0.5_steps=50_temp=1.0,16,square;blue;solid,blue;solid,2,subtractive,3,4,1.0
S2,subtractive,p_add=0.5_steps=50_temp=1.0,17,square;blue;solid,blue;solid,2,subtractive,2,3,1.0
S2,subtractive,p_add=0.5_steps=50_temp=1.0,18,square;blue;solid,blue;solid;square,3,nochange,3,3,1.0
S2,subtractive,p_add=0.5_steps=50_temp=1.0,19,square;blue;solid,blue;solid,2,subtractive,2,3,1.0
S2,subtractive,p_add=0.5_steps=50_temp=1.0,20,square;blue;solid,blue;solid,2,subtractive,1,2,1.0
S2,subtractive,p_add=0.5_steps=50_temp=1.0,21,square;blue;solid,blue;solid,2,subtractive,1,2,1.0
S2,subtractive,p_add=0.5_steps=50_temp=1.0,22,square;blue;solid,blue;solid,2,subtractive,1,2,1.0
S2,subtractive,p_add=0.5_steps=50_temp=1.0,23,square;blue;solid,blue;solid,2,subtractive,3,4,1.0
S2,subtractive,p_add=0.5_steps=50_temp=1.0,24,square;blue;solid,blue;solid,2,subtractive,3,4,1.0
S2,subtractive,p_add=0.5_steps=50_temp=1.0,25,square;blue;solid,blue;solid,2,subtractive,2,3,1.0
S2,subtractive,p_add=0.5_steps=50_temp=1.0,26,square;blue;solid,blue;solid,2,subtractive,4,5,1.0
S2,subtractive,p_add=0.5_steps=50_temp=1.0,27,square;blue;solid,blue;solid,2,subtractive,0,1,1.0
S2,subtractive,p_add=0.5_steps=50_temp=1.0,28,square;blue;solid,blue;solid,2,subtractive,3,4,1.0
S2,subtractive,p_add=0.5_steps=50_temp=1.0,29,square;blue;solid,blue;solid,2,subtractive,2,3,1.0
A2,additive,p_add=0.5_steps=50_temp=1.0,0,circle;blue,blue,1,subtractive,2,3,1.0
A2,additive,p_add=0.5_steps=50_temp=1.0,1,circle;blue,blue,1,subtractive,2,3,1.0
A2,additive,p_add=0.5_steps=50_temp=1.0,2,circle;blue,blue,1,subtractive,5,6,1.0
A2,additive,p_add=0.5_steps=50_temp=1.0,3,circle;blue,blue,1,subtractive,0,1,1.0
A2,additive,p_add=0.5_steps=50_temp=1.0,4,circle;blue,blue,1,subtractive,0,1,1.0
A2,additive,p_add=0.5_steps=50_temp=1.0,5,circle;blue,blue,1,subtractive,1,2,1.0
A2,additive,p_add=0.5_steps=50_temp=1.0,6,circle;blue,blue,1,subtractive,2,3,1.0
A2,additive,p_add=0.5_steps=50_temp=1.0,7,circle;blue,blue,1,subtractive,1,2,1.0
A2,additive,p_add=0.5_steps=50_temp=1.0,8,circle;blue,blue,1,subtractive,2,3,1.0
A2,additive,p_add=0.5_steps=50_temp=1.0,9,circle;blue,blue;circle,2,nochange,1,1,1.0
A2,additive,p_add=0.5_steps=50_temp=1.0,10,circle;blue,blue;circle,2,nochange,2,2,1.0
A2,additive,p_add=0.5_steps=50_temp=1.0,11,circle;blue,blue,1,subtractive,4,5,1.0
