trial_id,trial_type,condition,chain_index,initial_hypothesis,final_hypothesis,final_length,response_type,additive_moves,subtractive_moves,accuracy
S1,subtractive,p_add=0.1_steps=500_temp=1.0,0,red;square;small,red,1,subtractive,12,14,1.0
S1,subtractive,p_add=0.1_steps=500_temp=1.0,1,red;square;small,red,1,subtractive,8,10,1.0
S1,subtractive,p_add=0.1_steps=500_temp=1.0,2,red;square;small,red,1,subtractive,4,6,1.0
S1,subtractive,p_add=0.1_steps=500_temp=1.0,3,red;square;small,red,1,subtractive,10,12,1.0
S1,subtractive,p_add=0.1_steps=500_temp=1.0,4,red;square;small,red,1,subtractive,11,13,1.0
S1,subtractive,p_add=0.1_steps=500_temp=1.0,5,red;square;small,red,1,subtractive,9,11,1.0
S1,subtractive,p_add=0.1_steps=500_temp=1.0,6,red;square;small,red,1,subtractive,12,14,1.0
S1,subtractive,p_add=0.1_steps=500_temp=1.0,7,red;square;small,red,1,subtractive,11,13,1.0
S1,subtractive,p_add=0.1_steps=500_temp=1.0,8,red;square;small,red,1,subtractive,14,16,1.0
S1,subtractive,p_add=0.1_steps=500_temp=1.0,9,red;square;small,red,1,subtractive,5,7,1.0
S1,subtractive,p_add=0.1_steps=500_temp=1.0,10,red;square;small,red,1,subtractive,9,11,1.0
S1,subtractive,p_add=0.1_steps=500_temp=1.0,11,red;square;small,red,1,subtractive,4,6,1.0
S1,subtractive,p_add=0.1_steps=500_temp=1.0,12,red;square;small,red,1,subtractive,5,7,1.0
S1,subtractive,p_add=0.1_steps=500_temp=1.0,13,red;square;small,red,1,subtractive,6,8,1.0
S1,subtractive,p_add=0.1_steps=500_temp=1.0,14,red;square;small,red,1,subtractive,13,15,1.0
S1,subtractive,p_add=0.1_steps=500_temp=1.0,15,red;square;small,red,1,subtractive,3,5,1.0
S1,subtractive,p_add=0.1_steps=500_temp=1.0,16,red;square;small,red,1,subtractive,10,12,1.0
S1,subtractive,p_add=0.1_steps=500_temp=1.0,17,red;square;small,red,1,subtractive,5,7,1.0
S1,subtractive,p_add=0.1_steps=500_temp=1.0,18,red;square;small,red,1,subtractive,8,10,1.0
S1,subtractive,p_add=0.1_steps=500_temp=1.0,19,red;square;small,red,1,subtractive,8,10,1.0
S1,subtractive,p_add=0.1_steps=500_temp=1.0,20,red;square;small,red,1,subtractive,13,15,1.0
